,source,theme,title
0,時事通信社,2,ＮＹダウ、反落
1,時事通信社,2,ＮＹ円、１１１円近辺
2,Diamond Online,2,楽天スーパーポイントで投資する最大のメリットは、 ポイントの貯めやすさと投資できる投資信託の多さ！ 楽天カードでポイントをザクザク貯める方法も紹介！ - 最新記事
3,共同通信,2,ナスダック　　7日終値
4,Reuters,2,ＮＹ市場サマリー（7日）
5,時事通信社,2,ＮＹダウ、３日ぶり反落
6,共同通信,2,NY円、111円近辺
7,共同通信,2,NY円、110円95銭～111円05銭
8,Reuters,2,ドル上昇、米雇用統計受け　貿易懸念なお＝ＮＹ市場
9,共同通信,2,NY株、3日ぶり下落　貿易摩擦への懸念再燃
10,共同通信,2,NY株終値、79ドル安
11,共同通信,2,NY株式　　　7日終値
12,日刊工業新聞 電子版,2,デンソー、東北パイオニアＥＧを109億円で買収
13,日刊工業新聞 電子版,2,東京海上HD、南アフリカ保険大手2社に出資　日系損保大手初のアフリカ大型出資
14,Reuters,2,欧州市場サマリー（7日）
15,共同通信,2,為替相場　　　8日（日本時間　6時）
16,共同通信,2,NY株、一時100ドル超安　米追加利上げを警戒
17,TechCrunch Japan,2,人気瞑想アプリHeadspaceがAlpine.AIの買収でAIを装備へ
18,BLOGOS - 最新記事,2,選手とコーチの双方の代理人に就任するのは、ちょっと拙いんじゃないのかな - 早川忠孝
19,Diamond Online,2,都築電気、新設する2018年9月の株主優待の内容を 発表！ 保有株数に応じ、1000～3000円相当のお米や 麺類セット、焼き菓子などのグルメギフトを贈呈へ！ - 株主優待【新設・変更・廃止】最新ニュース
20,Diamond Online,2,梅の花、株主優待の変更で、6000～1万8000円分の 「優待券」の利便性アップ！　飲食代が何度でも20％ 割引になる「株主優待証」ももらえてお得度は高い！ - 株主優待【新設・変更・廃止】最新ニュース
21,Diamond Online,2,「インヴァストカード」のポイントで投資する最大の メリットは、自動的にほったらかし投資ができる点！ ポイントを無駄なく、効率的に使って資産形成しよう - 最新記事
22,Diamond Online,2,日本スキー場開発（6040）、株主優待を「拡充」で、 従来の半額で優待がもらえる！　1株⇒2株の分割後も 優待内容が据え置きで、スキー好きなら超お得に！ - 株主優待【新設・変更・廃止】最新ニュース
23,共同通信,2,楽9―4日（8日）　楽天が3連勝
24,共同通信,2,中国、対米黒字が拡大
25,Reuters,2,米国株式市場は下落、対中追加関税への懸念で　アップル下落
26,AMP[アンプ] - ビジネスインスピレーションメディア,2,保険もシェアする時代 「P2P保険」はミレニアル世代のスタンダードとなるか？〜全世界で30社以上に拡大
27,毎日新聞,2,社説：スルガ銀の不正融資　地域金融機関の資格欠く
28,読売新聞,2,トラック荷台にＡＴＭ、銀行の移動店舗車運行へ
29,日本経済新聞,2,リーマン危機10年、責任不在　次の危機の芽
30,ライフハッカー［日本版］,2,いずれはじまる不況に備え、今知っておきたいお金の話
31,NHKニュース,2,北海道内のゆうちょ銀行 土日も臨時営業
32,朝日新聞デジタル,2,「オマエの家族皆殺し」スルガ銀、上司による壮絶な恫喝
33,東洋経済オンライン,2,ぐっちーさん｢銀行員年収300万時代が来る｣
34,ZUU Online｜経済金融メディア,2,富裕層の国外流出が多い国ランキング　選ばれた国の先行きは不安？
35,Reuters,2,日立、中国テンセントと戦略的提携で合意
36,Reuters,2,正午のドルは111円付近、方向感に乏しい値動き
37,ハフポスト日本版,2,真のカメ類はいつ出現したのか
38,共同通信,2,東証、午前終値2万2314円　一進一退、方向感欠く
39,時事通信社,2,７円高の２万２３１４円３６銭＝１０日午前の平均株価
40,共同通信,2,東証、午前終値は7円高
41,時事通信社,2,円反落、１１０円台後半＝東京市場
42,共同通信,2,東京円、110円台後半
43,共同通信,2,東証12円高　午前9時15分現在
44,Reuters,2,寄り付きの日経平均は続落、米通商問題が重し
45,共同通信,2,東京株式　10日13時
46,時事通信社,2,円相場、１１０円９１～９３銭＝１０日午前９時現在
47,Forbes Japan,2,日本初、投資一任型の資産運用サービスが描く勝算
48,Aviation Wire,2,関空、1タミは14日再開へ　南側から暫定運用
49,MONOist,2,デンソーがパイオニア孫会社を買収、FAシステムソリューション事業を強化へ
50,共同通信,2,為替相場　　10日（日本時間13時）
51,現代ビジネス[講談社] | 最新記事,2,ランドセルは本当に軽いほうがいい？安易な「かわいそう」が奪うもの
52,Diamond Online,2,ドルは来年にかけて天井圏に 110円以上は投機の短命相場 - 為替市場透視眼鏡
53,SankeiBiz（サンケイビズ）,2,収益低迷の地方銀行にもメリット　大手信託銀行が狙う「囲い込み」
54,Reuters,2,前場の日経平均は7日ぶり小反発、ＧＤＰ上方改定支えに買い戻し
55,マネー現代,2,投資の神様バフェットが「投信を買ってはいけない」と忠告する理由
56,Bloomberg.com,2,サマーズ氏：最新のＦＲＢストレステストの結果「ばかげている」
57,Bloomberg,2,仮想通貨の爆発的成長期、終わった可能性－イーサリアム創設者
58,キープレイヤーズ | ベンチャー/スタートアップ転職求人の専門エージェント,2,セレスCFO小林 保裕さんの語る、ベンチャー上場のリアルとCFOの責務
59,Diamond Online,2,リーマン後10年「次なるリスク」、債務膨張に経済ナショナリズム
60,RPA BANK,2,RPAテクノロジーズとコージェントラボがRPA×AI OCR分野で業務提携「BizRobo! DX Cloud」で「Basic Robo!」と「Tegaki」が連携
61,RPA BANK,2,RPAテクノロジーズとaiforce solutionsが業務提携　RPA×AIでデジタルレイバーの実務を高度化する「Roboforce」を提供開始
62,時事通信社,2,円相場、１１０円９９～９９銭＝１０日午後５時現在
63,共同通信,2,東京円、111円近辺
64,Social Game Info,2,大ヒットタイトル『黒い砂漠』を運営するPearl Abyss、『EVE Online』シリーズで知られるCCP Gamesを買収
65,EE Times Japan,2,加賀電子が富士通エレを買収へ、売上高5000億円規模に
